"Code","ICD9_ICD10","String","PheCode","Disease"
"427.3","ICD9","Atrial fibrillation and flutter",427.2,"Atrial Fibrillaion"
"427.31","ICD9","Atrial fibrillation",427.21,"Atrial Fibrillaion"
"427.32","ICD9","Atrial flutter",427.22,"Atrial Fibrillaion"
"I48","ICD10","Atrial fibrillation and flutter",427.2,"Atrial Fibrillaion"
"I48.0","ICD10","Paroxysmal atrial fibrillation",427.21,"Atrial Fibrillaion"
"I48.1","ICD10","Persistent atrial fibrillation",427.22,"Atrial Fibrillaion"
"I48.2","ICD10","Chronic atrial fibrillation",427.21,"Atrial Fibrillaion"
"I48.3","ICD10","Typical atrial flutter",427.22,"Atrial Fibrillaion"
"I48.4","ICD10","Atypical atrial flutter",427.22,"Atrial Fibrillaion"
"I48.91","ICD10","Unspecified atrial fibrillation",427.21,"Atrial Fibrillaion"
"I48.92","ICD10","Unspecified atrial flutter",427.22,"Atrial Fibrillaion"
"493.0","ICD9","Asthma",495,"Asthma"
"493.0","ICD9","Extrinsic asthma",495,"Asthma"
"493.0","ICD9","Extrinsic asthma without mention of status asthmaticus",495,"Asthma"
"493.01","ICD9","Extrinsic asthma with status asthmaticus",495.2,"Asthma"
"493.02","ICD9","Extrinsic asthma with acute exacerbation",495.2,"Asthma"
"493.1","ICD9","Intrinsic asthma",495,"Asthma"
"493.1","ICD9","Intrinsic asthma without mention of status asthmaticus",495,"Asthma"
"493.11","ICD9","Intrinsic asthma with status asthmaticus",495.2,"Asthma"
"493.12","ICD9","Intrinsic asthma with acute exacerbation",495.2,"Asthma"
"493.2","ICD9","Chronic obstructive asthma",495.1,"Asthma"
"493.2","ICD9","Chronic obstructive asthma, without mention of status asthmaticus",495.1,"Asthma"
"493.21","ICD9","Chronic obstructive asthma, with status asthmaticus",495.11,"Asthma"
"493.22","ICD9","Chronic obstructive asthma, with acute exacerbation",495.11,"Asthma"
"493.8","ICD9","Other forms of asthma",495,"Asthma"
"493.81","ICD9","Exercise induced bronchospasm",495.2,"Asthma"
"493.82","ICD9","Cough variant asthma",495,"Asthma"
"493.9","ICD9","Asthma, unspecified",495,"Asthma"
"493.9","ICD9","Asthma, unspecified type, without mention of status asthmaticus",495,"Asthma"
"493.91","ICD9","Asthma, unspecified type, with status asthmaticus",495.2,"Asthma"
"493.92","ICD9","Asthma, unspecified type, with acute exacerbation",495.2,"Asthma"
"J45.0","ICD10","Asthma",495,"Asthma"
"J45.20","ICD10","Mild intermittent asthma, uncomplicated",495,"Asthma"
"J45.21","ICD10","Mild intermittent asthma with (acute) exacerbation",495.2,"Asthma"
"J45.22","ICD10","Mild intermittent asthma with status asthmaticus",495.2,"Asthma"
